AphiaID,species,ecoregion,taxa
NA,stenella coeruleoalba,Adriatic Sea,Mammals
NA,calonectris diomedea,Adriatic Sea,Birds
NA,puffinus mauretanicus,Adriatic Sea,Birds
NA,ichthyaetus melanocephalus,Adriatic Sea,Birds
NA,puffinus yelkouan,Adriatic Sea,Birds
NA,phalacrocorax carbo,Adriatic Sea,Birds
NA,pagophilus groenlandicus,Adriatic Sea,Mammals
NA,larus michahellis,Adriatic Sea,Birds
NA,phalacrocorax aristotelis,Adriatic Sea,Birds
NA,chelonia mydas,Adriatic Sea,marine Turtles
NA,caretta caretta,Black Sea,marine Turtles
NA,grampus griseus,Black Sea,Mammals
NA,dermochelys coriacea,Black Sea,marine Turtles
NA,tursiops truncatus,Black Sea,Mammals
NA,monachus monachus,Black Sea,Mammals
NA,phocoena phocoena,Black Sea,Mammals
NA,morus bassanus,Black Sea,Birds
NA,globicephala melas,Black Sea,Mammals
NA,stenella coeruleoalba,Black Sea,Mammals
NA,calonectris diomedea,Black Sea,Birds
NA,puffinus mauretanicus,Black Sea,Birds
NA,ichthyaetus melanocephalus,Black Sea,Birds
NA,puffinus yelkouan,Black Sea,Birds
NA,phalacrocorax carbo,Black Sea,Birds
NA,pagophilus groenlandicus,Black Sea,Mammals
NA,larus michahellis,Black Sea,Birds
NA,phalacrocorax aristotelis,Black Sea,Birds
NA,chelonia mydas,Black Sea,marine Turtles
NA,caretta caretta,Aegean-Levantine Sea,marine Turtles
NA,grampus griseus,Aegean-Levantine Sea,Mammals
NA,dermochelys coriacea,Aegean-Levantine Sea,marine Turtles
NA,tursiops truncatus,Aegean-Levantine Sea,Mammals
NA,monachus monachus,Aegean-Levantine Sea,Mammals
NA,phocoena phocoena,Aegean-Levantine Sea,Mammals
NA,morus bassanus,Aegean-Levantine Sea,Birds
NA,globicephala melas,Aegean-Levantine Sea,Mammals
NA,stenella coeruleoalba,Aegean-Levantine Sea,Mammals
NA,calonectris diomedea,Aegean-Levantine Sea,Birds
NA,puffinus mauretanicus,Aegean-Levantine Sea,Birds
NA,ichthyaetus melanocephalus,Aegean-Levantine Sea,Birds
NA,puffinus yelkouan,Aegean-Levantine Sea,Birds
NA,phalacrocorax carbo,Aegean-Levantine Sea,Birds
NA,pagophilus groenlandicus,Aegean-Levantine Sea,Mammals
NA,larus michahellis,Aegean-Levantine Sea,Birds
NA,phalacrocorax aristotelis,Aegean-Levantine Sea,Birds
NA,chelonia mydas,Aegean-Levantine Sea,marine Turtles
NA,caretta caretta,Ionian Sea and the Central Mediterranean Sea,marine Turtles
NA,grampus griseus,Ionian Sea and the Central Mediterranean Sea,Mammals
NA,dermochelys coriacea,Ionian Sea and the Central Mediterranean Sea,marine Turtles
NA,tursiops truncatus,Ionian Sea and the Central Mediterranean Sea,Mammals
NA,monachus monachus,Ionian Sea and the Central Mediterranean Sea,Mammals
NA,phocoena phocoena,Ionian Sea and the Central Mediterranean Sea,Mammals
NA,morus bassanus,Ionian Sea and the Central Mediterranean Sea,Birds
NA,globicephala melas,Ionian Sea and the Central Mediterranean Sea,Mammals
NA,stenella coeruleoalba,Ionian Sea and the Central Mediterranean Sea,Mammals
NA,calonectris diomedea,Ionian Sea and the Central Mediterranean Sea,Birds
NA,puffinus mauretanicus,Ionian Sea and the Central Mediterranean Sea,Birds
NA,ichthyaetus melanocephalus,Ionian Sea and the Central Mediterranean Sea,Birds
NA,puffinus yelkouan,Ionian Sea and the Central Mediterranean Sea,Birds
NA,phalacrocorax carbo,Ionian Sea and the Central Mediterranean Sea,Birds
NA,pagophilus groenlandicus,Ionian Sea and the Central Mediterranean Sea,Mammals
NA,larus michahellis,Ionian Sea and the Central Mediterranean Sea,Birds
NA,phalacrocorax aristotelis,Ionian Sea and the Central Mediterranean Sea,Birds
NA,chelonia mydas,Ionian Sea and the Central Mediterranean Sea,marine Turtles
NA,caretta caretta,Western Mediterranean Sea,marine Turtles
NA,grampus griseus,Western Mediterranean Sea,Mammals
NA,dermochelys coriacea,Western Mediterranean Sea,marine Turtles
NA,tursiops truncatus,Western Mediterranean Sea,Mammals
NA,monachus monachus,Western Mediterranean Sea,Mammals
NA,phocoena phocoena,Western Mediterranean Sea,Mammals
NA,morus bassanus,Western Mediterranean Sea,Birds
NA,globicephala melas,Western Mediterranean Sea,Mammals
NA,stenella coeruleoalba,Western Mediterranean Sea,Mammals
NA,calonectris diomedea,Western Mediterranean Sea,Birds
NA,puffinus mauretanicus,Western Mediterranean Sea,Birds
NA,ichthyaetus melanocephalus,Western Mediterranean Sea,Birds
NA,puffinus yelkouan,Western Mediterranean Sea,Birds
NA,phalacrocorax carbo,Western Mediterranean Sea,Birds
NA,pagophilus groenlandicus,Western Mediterranean Sea,Mammals
NA,larus michahellis,Western Mediterranean Sea,Birds
NA,phalacrocorax aristotelis,Western Mediterranean Sea,Birds
NA,chelonia mydas,Western Mediterranean Sea,marine Turtles
